postalCode0,postalCode,Prefecture,City,Following
600000,0600000,北海道,札幌市中央区,以下に掲載がない場合
640941,0640941,北海道,札幌市中央区,旭ケ丘
600041,0600041,北海道,札幌市中央区,大通東
600042,0600042,北海道,札幌市中央区,大通西（１〜１９丁目）
640820,0640820,北海道,札幌市中央区,大通西（２０〜２８丁目）
600031,0600031,北海道,札幌市中央区,北一条東
600001,0600001,北海道,札幌市中央区,北一条西（１〜１９丁目）
640821,0640821,北海道,札幌市中央区,北一条西（２０〜２８丁目）
600032,0600032,北海道,札幌市中央区,北二条東
600002,0600002,北海道,札幌市中央区,北二条西（１〜１９丁目）
640822,0640822,北海道,札幌市中央区,北二条西（２０〜２８丁目）
600033,0600033,北海道,札幌市中央区,北三条東
600003,0600003,北海道,札幌市中央区,北三条西（１〜１９丁目）
640823,0640823,北海道,札幌市中央区,北三条西（２０〜３０丁目）
600034,0600034,北海道,札幌市中央区,北四条東（１〜８丁目）
600004,0600004,北海道,札幌市中央区,北四条西（１〜１９丁目）
640824,0640824,北海道,札幌市中央区,北四条西（２０〜３０丁目）
600035,0600035,北海道,札幌市中央区,北五条東
600005,0600005,北海道,札幌市中央区,北五条西（１〜２４丁目）
640825,0640825,北海道,札幌市中央区,北五条西（２５〜２９丁目）
600006,0600006,北海道,札幌市中央区,北六条西（１０〜２５丁目）
640826,0640826,北海道,札幌市中央区,北六条西（２６〜２８丁目）
600007,0600007,北海道,札幌市中央区,北七条西
600008,0600008,北海道,札幌市中央区,北八条西
600009,0600009,北海道,札幌市中央区,北九条西
600010,0600010,北海道,札幌市中央区,北十条西
600011,0600011,北海道,札幌市中央区,北十一条西
600012,0600012,北海道,札幌市中央区,北十二条西
600013,0600013,北海道,札幌市中央区,北十三条西
600014,0600014,北海道,札幌市中央区,北十四条西
600015,0600015,北海道,札幌市中央区,北十五条西
600016,0600016,北海道,札幌市中央区,北十六条西
600017,0600017,北海道,札幌市中央区,北十七条西
600018,0600018,北海道,札幌市中央区,北十八条西
600020,0600020,北海道,札幌市中央区,北二十条西
600021,0600021,北海道,札幌市中央区,北二十一条西
600022,0600022,北海道,札幌市中央区,北二十二条西
640943,0640943,北海道,札幌市中央区,界川
640931,0640931,北海道,札幌市中央区,中島公園
640945,0640945,北海道,札幌市中央区,盤渓
640942,0640942,北海道,札幌市中央区,伏見
640946,0640946,北海道,札幌市中央区,双子山
640944,0640944,北海道,札幌市中央区,円山西町
600051,0600051,北海道,札幌市中央区,南一条東
600061,0600061,北海道,札幌市中央区,南一条西（１〜１９丁目）
640801,0640801,北海道,札幌市中央区,南一条西（２０〜２８丁目）
600052,0600052,北海道,札幌市中央区,南二条東
600062,0600062,北海道,札幌市中央区,南二条西（１〜１９丁目）
640802,0640802,北海道,札幌市中央区,南二条西（２０〜２８丁目）
600053,0600053,北海道,札幌市中央区,南三条東
600063,0600063,北海道,札幌市中央区,南三条西（１〜１８丁目）
640803,0640803,北海道,札幌市中央区,南三条西（２０〜２８丁目）
600054,0600054,北海道,札幌市中央区,南四条東
640804,0640804,北海道,札幌市中央区,南四条西
600055,0600055,北海道,札幌市中央区,南五条東
640805,0640805,北海道,札幌市中央区,南五条西
600056,0600056,北海道,札幌市中央区,南六条東
640806,0640806,北海道,札幌市中央区,南六条西
600057,0600057,北海道,札幌市中央区,南七条東
640807,0640807,北海道,札幌市中央区,南七条西
640808,0640808,北海道,札幌市中央区,南八条西
640809,0640809,北海道,札幌市中央区,南九条西
640810,0640810,北海道,札幌市中央区,南十条西
640811,0640811,北海道,札幌市中央区,南十一条西
640912,0640912,北海道,札幌市中央区,南十二条西
640913,0640913,北海道,札幌市中央区,南十三条西
640914,0640914,北海道,札幌市中央区,南十四条西
640915,0640915,北海道,札幌市中央区,南十五条西
640916,0640916,北海道,札幌市中央区,南十六条西
640917,0640917,北海道,札幌市中央区,南十七条西
640918,0640918,北海道,札幌市中央区,南十八条西
640919,0640919,北海道,札幌市中央区,南十九条西
640920,0640920,北海道,札幌市中央区,南二十条西
640921,0640921,北海道,札幌市中央区,南二十一条西
640922,0640922,北海道,札幌市中央区,南二十二条西
640923,0640923,北海道,札幌市中央区,南二十三条西
640924,0640924,北海道,札幌市中央区,南二十四条西
640925,0640925,北海道,札幌市中央区,南二十五条西
640926,0640926,北海道,札幌市中央区,南二十六条西
640927,0640927,北海道,札幌市中央区,南二十七条西
640928,0640928,北海道,札幌市中央区,南二十八条西
640929,0640929,北海道,札幌市中央区,南二十九条西
640930,0640930,北海道,札幌市中央区,南三十条西（９〜１１丁目）
640959,0640959,北海道,札幌市中央区,宮ケ丘
640958,0640958,北海道,札幌市中央区,宮の森
640951,0640951,北海道,札幌市中央区,宮の森一条
640952,0640952,北海道,札幌市中央区,宮の森二条
640953,0640953,北海道,札幌市中央区,宮の森三条
640954,0640954,北海道,札幌市中央区,宮の森四条
10000,0010000,北海道,札幌市北区,以下に掲載がない場合
28071,0028071,北海道,札幌市北区,あいの里一条
28072,0028072,北海道,札幌市北区,あいの里二条
28073,0028073,北海道,札幌市北区,あいの里三条
28074,0028074,北海道,札幌市北区,あいの里四条
28075,0028075,北海道,札幌市北区,あいの里五条
10045,0010045,北海道,札幌市北区,麻生町
600806,0600806,北海道,札幌市北区,北六条西
600807,0600807,北海道,札幌市北区,北七条西
600808,0600808,北海道,札幌市北区,北八条西
600809,0600809,北海道,札幌市北区,北九条西
10010,0010010,北海道,札幌市北区,北十条西（１〜４丁目）
600810,0600810,北海道,札幌市北区,北十条西（５〜１１丁目）
10011,0010011,北海道,札幌市北区,北十一条西（１〜４丁目）
