PostalCode,Prefecture,City,Forllowing
600000,北海道,札幌市中央区,以下に掲載がない場合
640941,北海道,札幌市中央区,旭ケ丘
600041,北海道,札幌市中央区,大通東
600042,北海道,札幌市中央区,大通西（１〜１９丁目）
640820,北海道,札幌市中央区,大通西（２０〜２８丁目）
600031,北海道,札幌市中央区,北一条東
600001,北海道,札幌市中央区,北一条西（１〜１９丁目）
640821,北海道,札幌市中央区,北一条西（２０〜２８丁目）
600032,北海道,札幌市中央区,北二条東
600002,北海道,札幌市中央区,北二条西（１〜１９丁目）
640822,北海道,札幌市中央区,北二条西（２０〜２８丁目）
600033,北海道,札幌市中央区,北三条東
600003,北海道,札幌市中央区,北三条西（１〜１９丁目）
640823,北海道,札幌市中央区,北三条西（２０〜３０丁目）
600034,北海道,札幌市中央区,北四条東（１〜８丁目）
600004,北海道,札幌市中央区,北四条西（１〜１９丁目）
640824,北海道,札幌市中央区,北四条西（２０〜３０丁目）
600035,北海道,札幌市中央区,北五条東
600005,北海道,札幌市中央区,北五条西（１〜２４丁目）
640825,北海道,札幌市中央区,北五条西（２５〜２９丁目）
600006,北海道,札幌市中央区,北六条西（１０〜２５丁目）
640826,北海道,札幌市中央区,北六条西（２６〜２８丁目）
600007,北海道,札幌市中央区,北七条西
600008,北海道,札幌市中央区,北八条西
600009,北海道,札幌市中央区,北九条西
600010,北海道,札幌市中央区,北十条西
600011,北海道,札幌市中央区,北十一条西
600012,北海道,札幌市中央区,北十二条西
600013,北海道,札幌市中央区,北十三条西
600014,北海道,札幌市中央区,北十四条西
600015,北海道,札幌市中央区,北十五条西
600016,北海道,札幌市中央区,北十六条西
600017,北海道,札幌市中央区,北十七条西
600018,北海道,札幌市中央区,北十八条西
600020,北海道,札幌市中央区,北二十条西
600021,北海道,札幌市中央区,北二十一条西
600022,北海道,札幌市中央区,北二十二条西
640943,北海道,札幌市中央区,界川
640931,北海道,札幌市中央区,中島公園
640945,北海道,札幌市中央区,盤渓
640942,北海道,札幌市中央区,伏見
640946,北海道,札幌市中央区,双子山
640944,北海道,札幌市中央区,円山西町
600051,北海道,札幌市中央区,南一条東
600061,北海道,札幌市中央区,南一条西（１〜１９丁目）
640801,北海道,札幌市中央区,南一条西（２０〜２８丁目）
600052,北海道,札幌市中央区,南二条東
600062,北海道,札幌市中央区,南二条西（１〜１９丁目）
640802,北海道,札幌市中央区,南二条西（２０〜２８丁目）
600053,北海道,札幌市中央区,南三条東
600063,北海道,札幌市中央区,南三条西（１〜１８丁目）
640803,北海道,札幌市中央区,南三条西（２０〜２８丁目）
600054,北海道,札幌市中央区,南四条東
640804,北海道,札幌市中央区,南四条西
600055,北海道,札幌市中央区,南五条東
640805,北海道,札幌市中央区,南五条西
600056,北海道,札幌市中央区,南六条東
640806,北海道,札幌市中央区,南六条西
600057,北海道,札幌市中央区,南七条東
640807,北海道,札幌市中央区,南七条西
640808,北海道,札幌市中央区,南八条西
640809,北海道,札幌市中央区,南九条西
640810,北海道,札幌市中央区,南十条西
640811,北海道,札幌市中央区,南十一条西
640912,北海道,札幌市中央区,南十二条西
640913,北海道,札幌市中央区,南十三条西
640914,北海道,札幌市中央区,南十四条西
640915,北海道,札幌市中央区,南十五条西
640916,北海道,札幌市中央区,南十六条西
640917,北海道,札幌市中央区,南十七条西
640918,北海道,札幌市中央区,南十八条西
640919,北海道,札幌市中央区,南十九条西
640920,北海道,札幌市中央区,南二十条西
640921,北海道,札幌市中央区,南二十一条西
640922,北海道,札幌市中央区,南二十二条西
640923,北海道,札幌市中央区,南二十三条西
640924,北海道,札幌市中央区,南二十四条西
640925,北海道,札幌市中央区,南二十五条西
640926,北海道,札幌市中央区,南二十六条西
640927,北海道,札幌市中央区,南二十七条西
640928,北海道,札幌市中央区,南二十八条西
640929,北海道,札幌市中央区,南二十九条西
640930,北海道,札幌市中央区,南三十条西（９〜１１丁目）
640959,北海道,札幌市中央区,宮ケ丘
640958,北海道,札幌市中央区,宮の森
640951,北海道,札幌市中央区,宮の森一条
640952,北海道,札幌市中央区,宮の森二条
640953,北海道,札幌市中央区,宮の森三条
640954,北海道,札幌市中央区,宮の森四条
10000,北海道,札幌市北区,以下に掲載がない場合
28071,北海道,札幌市北区,あいの里一条
28072,北海道,札幌市北区,あいの里二条
28073,北海道,札幌市北区,あいの里三条
28074,北海道,札幌市北区,あいの里四条
28075,北海道,札幌市北区,あいの里五条
10045,北海道,札幌市北区,麻生町
600806,北海道,札幌市北区,北六条西
600807,北海道,札幌市北区,北七条西
600808,北海道,札幌市北区,北八条西
600809,北海道,札幌市北区,北九条西
10010,北海道,札幌市北区,北十条西（１〜４丁目）
600810,北海道,札幌市北区,北十条西（５〜１１丁目）
10011,北海道,札幌市北区,北十一条西（１〜４丁目）
600811,北海道,札幌市北区,北十一条西（５〜１１丁目）
10012,北海道,札幌市北区,北十二条西（１〜４丁目）
600812,北海道,札幌市北区,北十二条西（５〜１２丁目）
10013,北海道,札幌市北区,北十三条西（１〜４丁目）
600813,北海道,札幌市北区,北十三条西（５〜１２丁目）
10014,北海道,札幌市北区,北十四条西（１〜４丁目）
600814,北海道,札幌市北区,北十四条西（５〜１３丁目）
10015,北海道,札幌市北区,北十五条西（１〜５丁目）
600815,北海道,札幌市北区,北十五条西（６〜１３丁目）
10016,北海道,札幌市北区,北十六条西（１〜６丁目）
600816,北海道,札幌市北区,北十六条西（７〜１３丁目）
10017,北海道,札幌市北区,北十七条西（１〜６丁目）
600817,北海道,札幌市北区,北十七条西（７〜１３丁目）
10018,北海道,札幌市北区,北十八条西（１〜７丁目）
600818,北海道,札幌市北区,北十八条西（８〜１３丁目）
10019,北海道,札幌市北区,北十九条西（２〜７丁目）
600819,北海道,札幌市北区,北十九条西（８〜１３丁目）
10020,北海道,札幌市北区,北二十条西（２〜１０丁目）
600820,北海道,札幌市北区,北二十条西（１１〜１３丁目）
10021,北海道,札幌市北区,北二十一条西
10022,北海道,札幌市北区,北二十二条西
10023,北海道,札幌市北区,北二十三条西
10024,北海道,札幌市北区,北二十四条西
10025,北海道,札幌市北区,北二十五条西
10026,北海道,札幌市北区,北二十六条西
10027,北海道,札幌市北区,北二十七条西
10028,北海道,札幌市北区,北二十八条西
10029,北海道,札幌市北区,北二十九条西
10030,北海道,札幌市北区,北三十条西
10031,北海道,札幌市北区,北三十一条西
10032,北海道,札幌市北区,北三十二条西
10033,北海道,札幌市北区,北三十三条西
10034,北海道,札幌市北区,北三十四条西
10035,北海道,札幌市北区,北三十五条西
10036,北海道,札幌市北区,北三十六条西
10037,北海道,札幌市北区,北三十七条西
10038,北海道,札幌市北区,北三十八条西
10039,北海道,札幌市北区,北三十九条西
10040,北海道,札幌市北区,北四十条西
28021,北海道,札幌市北区,篠路一条
28022,北海道,札幌市北区,篠路二条
28023,北海道,札幌市北区,篠路三条
28024,北海道,札幌市北区,篠路四条
28025,北海道,札幌市北区,篠路五条
28026,北海道,札幌市北区,篠路六条
28027,北海道,札幌市北区,篠路七条
28028,北海道,札幌市北区,篠路八条
28029,北海道,札幌市北区,篠路九条
28030,北海道,札幌市北区,篠路十条
28052,北海道,札幌市北区,篠路町上篠路
28053,北海道,札幌市北区,篠路町篠路
28051,北海道,札幌市北区,篠路町太平
28054,北海道,札幌市北区,篠路町拓北
28055,北海道,札幌市北区,篠路町福移
10930,北海道,札幌市北区,新川
10921,北海道,札幌市北区,新川一条
